autoincrement,text,text1,date,city,autoincrement1
100,consectetuer adipiscing elit. Curabitur sed,mattis,2024-03-28Ê,Bowling Green,100
101,Vivamus sit,Aliquam,2024-02-22Ê,Mobile,101
102,"metus. In lorem. Donec elementum, lorem ut aliquam",nisi,2024-07-10Ê,Bear,102
103,"varius orci, in consequat enim",enim,2022-11-25Ê,Virginia Beach,103
104,dignissim tempor arcu. Vestibulum,sem,2022-11-21Ê,Evansville,104
105,"et magnis dis parturient montes, nascetur","congue,",2023-01-05Ê,Birmingham,105
106,neque. In ornare sagittis felis. Donec,vel,2024-02-26Ê,Milwaukee,106
107,sem. Pellentesque ut,erat.,2023-12-16Ê,Chandler,107
108,"risus. Quisque libero lacus,",malesuada,2023-04-29Ê,Jackson,108
109,"lacinia. Sed congue, elit sed consequat auctor,",nisl.,2022-10-24Ê,San Jose,109
